Salinity,Temperature
33.6115,10.505
33.4081,15.092
33.7538,9.344
34.2514,8.194
33.1626,12.006
34.1557,6.906
33.2542,14.155
34.0584,9.34
33.2674,16.034
34.1059,6.224
34.2629,5.947
33.8337,10.757
33.9916,8.357
33.3404,15.496
33.3509,14.279
33.2118,11.39
34.2819,6.407
33.4747,11.473
33.8967,8.735
33.3881,16.743
33.4599,14.108
34.0356,7.781
33.0805,13.46
33.2945,13.843
33.4146,13.808
34.2122,9.789
34.1439,7.225
33.4219,13.822
33.9797,8.276
34.2949,6.558
33.8687,9.733
34.2749,6.988
33.9944,8.168
33.9647,8.701
34.2202,7.948
33.1402,16.303
33.4829,9.33
34.0325,9.341
33.9292,8.469
34.0735,6.376
34.3083,6.121
33.5058,14.101
33.2296,10.846
33.1659,15.083
33.6064,15.928
33.0307,15.781
34.6547,1.735
33.499,12.694
33.5844,14.835
33.2792,10.739
33.3348,15.137
33.2346,10.46
34.1612,5.619
34.1959,6.536
34.1162,9.597
34.2148,7.824
33.0421,15.812
34.009,8.883
32.8231,13.948
32.9107,14.038
33.4372,16.975
33.2266,13.581
32.3625,14.917
33.3579,15.132
34.0535,6.915
34.09,6.213
33.9704,9.394
33.4433,9.645
33.8647,9.59
34.1796,7.425
33.9114,8.889
33.6127,15.706
33.3526,12.123
33.2987,10.361
33.4245,17.515
33.1089,12.176
33.01,17.697
33.6476,9.274
33.0774,13.713
33.899,9.471
34.1069,6.252
34.2028,5.892
33.4729,12.22
32.871,13.459
34.0821,9.55
33.464,14.596
33.6077,10.015
33.6995,17.087
34.0085,7.724
34.2884,6.037
34.0386,9.016
34.2231,8.891
33.5912,20.877
34.0739,8.4
32.9564,14.002
33.5087,19.398
34.281,7.387
33.3964,15.617
34.2392,6.519
33.6161,20.664
33.5454,16.123
33.1794,11.531
34.15,5.831
33.2587,14.062
33.1347,12.477
34.0273,8.398
33.5026,14.513
33.3086,15.935
33.1896,14.981
33.7567,10.553
34.0765,7.473
33.5018,9.614
32.9211,14.372
34.2445,5.489
34.1026,6.554
33.6547,16.829
33.7905,9.663
33.4852,14.831
34.2787,6.506
34.0934,6.479
34.1577,6.195
33.1619,11.195
33.2325,16.356
33.8521,9.237
33.0954,12.806
34.3029,5.995
33.2504,11.805
33.0129,15.78
33.572,14.629
33.429,9.484
33.7127,9.327
33.479,15.975
33.8947,9.791
34.2174,7.548
33.4236,14.694
33.1262,15.871
34.1894,7.943
33.2815,15.801
34.2594,6.42
33.5331,16.544
33.9547,8.458
34.0685,7.939
33.8923,8.742
33.9067,8.562
33.201,15.818
33.1617,12.334
33.4417,15.501
33.3371,11.487
33.6458,9.771
33.2387,11.789
34.2032,8.519
33.5476,15.542
34.2195,8.43
33.2015,14.397
34.0949,8.135
34.2174,5.997
34.0133,8.121
33.375,17.817
33.4221,9.503
33.5537,14.667
33.2939,16.523
33.5347,14.432
33.1449,15.824
33.5776,9.846
33.9742,8.232
33.4361,12.408
32.9313,14.775
33.2645,11.668
33.2057,16.136
33.5883,14.894
33.3172,12.457
33.6418,9.467
34.0268,7.782
34.1519,8.476
33.4879,12.712
33.5305,10.094
34.2441,6.764
34.0719,8.289
33.3721,14.956
33.6176,10.8
33.0337,15.253
33.6769,9.692
34.2348,7.688
33.9047,8.683
34.17,8.52
33.4038,17.348
33.6116,16.226
33.7445,8.97
33.4083,18.744
33.1818,13.385
34.2739,6.58
33.3456,9.587
33.4995,11.255
33.0047,16.435
33.4247,9.713
33.6091,16.269
33.2869,16.52
33.8998,9.382
33.2429,16.003
34.0088,8.049
33.3916,14.446
33.7226,10.047
33.3262,18.79
33.5978,10.858
33.5317,10.661
33.1499,16.122
34.0383,7.591
33.8739,9.7
33.1357,16.438
33.584,15.737
33.379,19.563
33.8812,9.564
34.227,7.521
33.2648,18.606
33.6328,19.95
33.9802,8.979
33.387,13.628
33.3885,17.96
34.0436,7.551
33.5007,9.819
34.0627,10.276
34.1179,8.183
33.5727,14.181
33.3425,15.701
32.9456,15.144
33.4386,19.735
33.5667,14.683
33.5246,9.612
34.1622,7.242
34.1806,6.5
33.6112,15.651
33.3453,15.117
33.0177,14.355
34.1869,5.786
33.4768,12.136
33.5515,10.045
33.0871,12.391
33.1699,12.856
33.6543,10.097
33.9916,8.034
33.6647,11.07
33.0948,13.503
33.0605,12.917
33.5264,9.924
33.3902,14.783
34.2034,6.763
34.2091,7.059
33.9985,8.079
32.8231,14.335
34.1069,7.953
33.3563,12.029
33.3216,10.57
33.4004,13.949
33.2118,12.738
33.9766,7.725
32.565,13.904
32.9034,14.421
33.4908,14.48
33.3293,16.161
34.094,8.599
33.6306,9.684
33.312,16.651
33.5343,15.594
34.1426,7.317
32.9201,14.765
33.3598,14.753
34.1268,5.535
33.3403,19.107
34.0475,7.328
34.0576,6.843
33.4758,14.054
34.2153,5.899
33.3781,14.236
34.2075,7.878
33.2273,14.952
33.0511,14.802
34.2515,7.533
33.4073,11.945
33.3985,14.85
33.5793,11.936
33.1961,15.991
33.605,15.573
33.571,17.522
34.2455,5.862
33.948,9.196
33.3226,12.223
34.0294,7.247
34.073,7.182
34.0298,6.36
33.6232,16.366
33.8585,9.17
33.9917,8.088
33.9214,9.564
33.0967,15.523
33.3644,11.216
34.2166,8.31
33.7757,10.13
33.6084,16.228
34.001,8.216
34.1436,6.109
33.4178,17.034
33.5678,9.474
33.5891,10.968
34.0355,7.414
33.14,13.183
34.1205,6.467
33.9395,8.571
34.2917,6.789
33.4001,16.585
34.3059,5.775
34.3028,6.161
33.241,16.205
33.5458,16.457
34.0269,7.89
33.2657,18.541
34.0266,8.824
33.761,9.098
34.2118,7.085
33.241,13.759
33.2486,14.524
34.1194,6.104
34.2621,7.191
33.1253,16.475
33.8279,10.758
